#SOURCELONG:G	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																																								
#																																										
# Ability Name	Category of Ability	Type	visible	Special ABility			Restricted Ability	Define			BONUS				STACK	MULT	CHOOSE	SELECT														SOURCEPAGE:										
#																																										
# modification																																										
CATEGORY=Special Ability|Animal Companion.MOD	COMPANIONLIST:Animal Companion|Fox	COMPANIONLIST:Animal Companion|Dinosaur (Swindlespitter)|PRECLASS:1,Druid=1	COMPANIONLIST:Animal Companion|Dinosaur (Fleshraker)|FOLLOWERADJUSTMENT:-3|PRECLASS:1,Druid=4	COMPANIONLIST:Animal Companion|Dinosaur (Bloodstriker),Sea Tiger|FOLLOWERADJUSTMENT:-9|PRECLASS:1,Druid=10,Ranger=20	COMPANIONLIST:Animal Companion|Mastodon|FOLLOWERADJUSTMENT:-15|PRECLASS:1,Druid=16																																					
Spiked Skin	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:MM3										
Spin Destiny	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CA										
Spin Fate	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:%1 Spin points|SpinFatePoints				DEFINE:SpinFatePoints|0																								SOURCEPAGE:CA										
Spines	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:MM3										
Spirit Concordat	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES								BONUS:CASTERLEVEL|SPELL.Planar Ally|1	BONUS:CASTERLEVEL|SPELL.Planar Ally (Greater)|1	BONUS:CASTERLEVEL|SPELL.Planar Ally (Lesser)|1																			SOURCEPAGE:PGtF										
Spirit Dominion	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES								BONUS:CASTERLEVEL|SPELL.Planar Binding|1	BONUS:CASTERLEVEL|SPELL.Planar Binding (Greater)|1	BONUS:CASTERLEVEL|SPELL.Planar Binding (Lesser)|1																			SOURCEPAGE:PGtF										
Spirit Form	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:%1/day|SpiritFormTimes					DEFINE:SpiritFormTimes|0																							SOURCEPAGE:CD										
Spirit Journey	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES	DESC:%1/day|SpiritJourneyTimes					DEFINE:SpiritJourneyTimes|0																							SOURCEPAGE:CD										
Spirit Speech	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:PGtF										
Spirit Who Walks	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CD										
Spiritual Body	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:EXD										
Spit	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:MM3										
Spit Blood	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:FFo										
Spit Fire	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:MM3										
Spit Ooze	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES	DESC:1/10 round, medium size Grey Ooze.																												SOURCEPAGE:MM2										
Spit Poison	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialAttack	VISIBLE:YES	DESC:10' ft cone																												SOURCEPAGE:SS										
Spit Spawn	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES	DESC:2d4 spawn as standard action. Also 2d4 spawn when damaged as free action.																												SOURCEPAGE:MM2										
Splinterspit	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:MM3										
Spontaneous casting - Domain spells	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES	DESC:Can spontaneously cast spells from one of your chosed domain.																												SOURCEPAGE:PHB2										
Spontaneous casting - Rejuvenating	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES	DESC:Can sacrifice a prepared spell to give Fast Healing equal to the level of the sacrified spell for 3 round to allies in 30-ft.																												SOURCEPAGE:PHB2										
Spontaneous casting - Sanctified spells	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES	DESC:Can spontaneously cast Sanctified spells.																												SOURCEPAGE:EXD										
Spontaneous casting ~ Arctic Priest	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:Can spontaneously cast arctic priest spell list.	DESC:Control Weather, Create Food and Water, Endure Elements, Heroes' Feast, Hibernate, Protection from Energy and Resist Energy.																											SOURCEPAGE:PH										
Spontaneous casting ~ Banishment	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:Can spontaneously cast Banishment spell.																												SOURCEPAGE:PH										
Spontaneous casting ~ Light spells	CATEGORY:Special Ability	TYPE:SpecialQuality.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:PGtF										
Spontaneous casting ~ Summon	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES	DESC:Can spontaneously cast Summon monster for one category (Elementals, Celestials or Fiendish)																												SOURCEPAGE:PH										
Spur Mount	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:Drac										
Spurn Death's Touch	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CW										
Spurn Mortal Magic	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:+%1 on saving throws against spell and spell-like abilities of motals.|SpurnMortalMagicBonus				DEFINE:SpurnMortalMagicBonus|0																								SOURCEPAGE:BoVD										
Spyre of Darkness	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:%1/day|SpyreOfDarknessPerDay				DEFINE:SpyreOfDarknessPerDay|0			BONUS:COMBAT|AC|2|TYPE=Enhancement|PREAPPLY:PC	BONUS:CHECKS|Reflex|2|PREAPPLY:PC	BONUS:SKILL|Balance,Climb,Tumble|4|PREAPPLY:PC																			SOURCEPAGE:Nep										
Squash	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack.AttackOption	VISIBLE:YES	DESC:As a standard action, you can literally roll over any opponents at least one size category smaller than you. (Reflex half DC %1)|TrampleDC				DEFINE:SquashDC|10+STR+(HD/2)				BONUS:VAR|SquashDC|2|PREFEAT:1,Ability Focus(Squash)																				SOURCEPAGE:MM2										
Stagger	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CW										
Stalk Victim	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:FFo										
Stalwart	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:PGtF										
Stanch	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CA										
Stand on Mount	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CW										
Stand Tough	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:%1/day|StandToughPerDay				DEFINE:StandToughPerDay|0																								SOURCEPAGE:CAd										
Staredown	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES								BONUS:SKILL|Intimidate|4																					SOURCEPAGE:CW										
Starmantle (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:StarmantlePerDay|0	DEFINE:StarmantleLVL|0										SPELLS:Innate|TIMES=StarmantlePerDay|CASTERLEVEL=StarmantleLVL|Starmantle,16+CHA													SOURCEPAGE:EXD										
Starmetal Dependency	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CA										
Starmetal Rigor 1	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES								BONUS:STAT|STR|1	BONUS:STAT|DEX|-1	BONUS:COMBAT|AC|1|TYPE=NaturalArmor																			SOURCEPAGE:CA										
Starmetal Rigor 2	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES								BONUS:STAT|STR|1		BONUS:COMBAT|AC|1|TYPE=NaturalArmor																			SOURCEPAGE:CA										
Starmetal Rigor 3	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES								BONUS:STAT|STR|2	BONUS:STAT|DEX|-1	BONUS:COMBAT|AC|2|TYPE=NaturalArmor																			SOURCEPAGE:CA										
Starmetal Rigor 4	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES								BONUS:STAT|STR|2	BONUS:STAT|DEX|-1	BONUS:COMBAT|AC|2|TYPE=NaturalArmor																			SOURCEPAGE:CA										
Static Burn	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:RLPHB										
Steady Stance	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:CAd										
Steal (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES	DESC:max 5 punds.				DEFINE:StealPerDay|0	DEFINE:StealLVL|0										SPELLS:Innate|TIMES=StealPerDay|CASTERLEVEL=StealLVL|Telekinesis,15+CHA													SOURCEPAGE:BoVD										
Steal Breath	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack.AbilityFocus	VISIBLE:YES	DESC:1d6 Con damage (Fort DC %1)|StealBreathDC				DEFINE:StealBreathDC|10+(HD/2)+CON				BONUS:VAR|StealBreathDC|2|PREFEAT:1,Ability Focus(Steal Breath)																				SOURCEPAGE:MM2										
Steal Energy Resistance	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:max %1|StealEnergyResistance				DEFINE:StealEnergyResistance|0																								SOURCEPAGE:CAd										
Steal Eyes	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Fort  DC %1|StealEyesDC				DEFINE:StealEyesDC|10+(HD/2)+STR																								SOURCEPAGE:FFo										
Steal Skin	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES	DESC:1d4 Cha damage																												SOURCEPAGE:LM										
Steal Soul	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES	DESC:Fort DC %1|StealSoulDC				DEFINE:StealSoulDC|10+(HD/2)+CHA																								SOURCEPAGE:MM3										
Steal Spell	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:%1 level|StealSpell				DEFINE:StealSpell|0																								SOURCEPAGE:CAd										
Steal Spell Effect	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:max %1|StealSpellEffectCasterlevel				DEFINE:StealSpellEffectCasterlevel|CHA																								SOURCEPAGE:CAd										
Steal Spell Resistance	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CAd										
Steal Spell-Like Ability	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CD										
Steal SpellLike Ability	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CAd										
Stealth	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES	DESC:+%1 Enhancement to Hide and Move Silently checks.				DEFINE:StealthBonus|0			BONUS:SKILL|Hide,Move Silently|StealthBonus|TYPE=Enmhancement																					SOURCEPAGE:FFo										
Sticks to Snakes (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialAttack	VISIBLE:YES					DEFINE:SticksToSnakesPerDay|0	DEFINE:SticksToSnakesLVL|0										SPELLS:Innate|TIMES=SticksToSnakesPerDay|CASTERLEVEL=SticksToSnakesLVL|Sticks to Snakes,14+CHA													SOURCEPAGE:SS										
Sticky Acid	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:MM2										
Sticky Pads	CATEGORY:Special Ability	TYPE:SpellLike.SpecialQuality	VISIBLE:YES																SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=20|Spider Climb													SOURCEPAGE:AaEG										
Sticky Spray	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Ref DC %1|StickySprayDC				DEFINE:StickySprayDC|10+(HD/2)+CON																								SOURCEPAGE:MM3										
Sting ~ Abishai Black	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Tail inflict additional 2d4 acid damage, followed by 1d4 points of damage the subsequent round.																												SOURCEPAGE:Mon										
Sting ~ Abishai Blue	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Tail inflict additional 2d6 electricity damage.																												SOURCEPAGE:Mon										
Sting ~ Abishai Green	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Tail inflict additional 1d4 points of STR damage or 1 STR (%1 Fort DC)|10+CON+(HD/2)																												SOURCEPAGE:Mon										
Sting ~ Abishai Red	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Tail inflict additional 2d6 fire damage.																												SOURCEPAGE:Mon										
Sting ~ Abishai White	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Tail inflict additional 1d6 cold damage.																												SOURCEPAGE:Mon										
Stone Hue	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CW										
Stone Power	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES					DEFINE:StonePowerLVL|0	DEFINE:StonePowerSummonElementalPower|0																							SOURCEPAGE:CW										
Stone Shape (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:StoneShapePerDay|0	DEFINE:StoneShapeLVL|0										SPELLS:Innate|TIMES=StoneShapePerDay|CASTERLEVEL=StoneShapeLVL|Stone Shape,14+CHA													SOURCEPAGE:CW										
Stone Tell (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:StoneTellPerDay|0	DEFINE:StoneTellLVL|0										SPELLS:Innate|TIMES=StoneTellPerDay|CASTERLEVEL=StoneTellLVL|Stone Tell,16+CHA													SOURCEPAGE:CW										
Stone Throwing	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:MM3										
Stone to Flesh (Sp at will)	CATEGORY:Special Ability	TYPE:SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:StoneToFleshLVL|0												SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=StoneToFleshLVL|Stone to Flesh,16+CHA												SOURCEPAGE:EXD										
Stone Walk	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES																													SOURCEPAGE:Mon										
Stonecunning ~ Base	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES					DEFINE:StonecunningLevel|0											ABILITY:Special Ability|AUTOMATIC|Stonecunning|PREVARLTEQ:StonecunningLevel,1	ABILITY:Special Ability|AUTOMATIC|Improved Stonecunning|PREVARGTEQ:StonecunningLevel,2												SOURCEPAGE:PGtF										
Store Spell	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:Nep										
Storm Kinship	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:EXD										
Storm of Elemental Fury	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialAttack	VISIBLE:YES	DESC:%1/day|StormElementalFuryPerDay				DEFINE:StormElementalFuryPerDay|0																								SOURCEPAGE:CD										
Storm Ride	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CD										
Storm Walk	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CD										
Stormpower	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:Fro										
Stormsong	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES					DEFINE:StormsongLVL|0																								SOURCEPAGE:Fro										
Stormwing	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack.AbilityFocus	VISIBLE:YES	DESC:Ref DC %1|StormwingDC				DEFINE:StormwingDC|10+CON+(HD/2)				BONUS:VAR|StormwingDC|2|PREFEAT:1,Ability Focus(Stormwing)																				SOURCEPAGE:MM2										
Strangle	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:MM3										
Street Savvy	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:+%|StreetSavvyBonus				DEFINE:StreetSavvyBonus|0																								SOURCEPAGE:CW										
Streetwise	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:%1 bonus onf Gather Information and Knowledge(Local)|StreetwiseBonus				DEFINE:StreetwiseBonus|0			BONUS:SKILL|Gather Information,Knowledge (Local)|StreetwiseBonus|TYPE=Competence																					SOURCEPAGE:DD										
Strength Damage ~ Darkweaver	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES	DESC:2d4 Strength damage or 4d4 on critical hit.	OUTPUTNAME:Strength Damage	SERVESAS:ABILITY=Special Ability|Strength Damage																										SOURCEPAGE:FFo										
Strength Damage ~ Ephemeral Swarm	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES	DESC:1d6 Strength damage	OUTPUTNAME:Strength Damage	SERVESAS:ABILITY=Special Ability|Strength Damage																										SOURCEPAGE:MM3										
Strength Damage ~ Shadow Jelly	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:1d6 Strength damage	OUTPUTNAME:Strength Damage	SERVESAS:ABILITY=Special Ability|Strength Damage																										SOURCEPAGE:PH										
Strength Damage ~ Umbral (Co)	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES	DESC:4d6 Str damage	OUTPUTNAME:Strength Damage	SERVESAS:ABILITY=Special Ability|Strength Damage																										SOURCEPAGE:LM										
Strength Damage ~ Umbral (D)	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES	DESC:1d2 Str damage	OUTPUTNAME:Strength Damage	SERVESAS:ABILITY=Special Ability|Strength Damage																										SOURCEPAGE:LM										
Strength Damage ~ Umbral (F)	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES	DESC:1d2 Str damage	OUTPUTNAME:Strength Damage	SERVESAS:ABILITY=Special Ability|Strength Damage																										SOURCEPAGE:LM										
Strength Damage ~ Umbral (G)	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES	DESC:3d6 Str damage	OUTPUTNAME:Strength Damage	SERVESAS:ABILITY=Special Ability|Strength Damage																										SOURCEPAGE:LM										
Strength Damage ~ Umbral (H)	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES	DESC:2d6 Str damage	OUTPUTNAME:Strength Damage	SERVESAS:ABILITY=Special Ability|Strength Damage																										SOURCEPAGE:LM										
Strength Damage ~ Umbral (L)	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES	DESC:1d8 Str damage	OUTPUTNAME:Strength Damage	SERVESAS:ABILITY=Special Ability|Strength Damage																										SOURCEPAGE:LM										
Strength Damage ~ Umbral (M)	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES	DESC:1d6 Str damage	OUTPUTNAME:Strength Damage	SERVESAS:ABILITY=Special Ability|Strength Damage																										SOURCEPAGE:LM										
Strength Damage ~ Umbral (S)	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES	DESC:1d4 Str damage	OUTPUTNAME:Strength Damage	SERVESAS:ABILITY=Special Ability|Strength Damage																										SOURCEPAGE:LM										
Strength Damage ~ Umbral (T)	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES	DESC:1d3 Str damage	OUTPUTNAME:Strength Damage	SERVESAS:ABILITY=Special Ability|Strength Damage																										SOURCEPAGE:LM										
Strength of the Faithful	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:DD										
Strength of Will	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	DESC:+4 morale bonus on saving throws against  charm and compulsion effects.																												SOURCEPAGE:Drac										
